fid,GID_2,NAME_2,stress24,stress25,change,valid24,valid25
1,NGA.20.1_1,Ajingi,0.512832187689268,0.497653234463472,-0.015178953225796,13,13
2,NGA.20.2_1,Albasu,0.458993325630824,0.45908729897605,9.39733452267055e-05,9,9
3,NGA.20.3_1,Bagwai,0.310413395365079,0.373670299847921,0.0632569044828415,12,12
4,NGA.20.4_1,Bebeji,0.442671378453573,0.435462063267117,-0.00720931518645512,21,21
5,NGA.20.5_1,Bichi,0.354582770874626,0.442177338035483,0.0875945671608573,19,19
6,NGA.20.6_1,Bunkure,0.339048871770501,0.357674585655332,0.0186257138848305,16,16
7,NGA.20.7_1,Dala,0.288883954286575,0.390550434589386,0.101666480302811,1,1
8,NGA.20.8_1,Dambatta,0.542305989190936,0.584028214216232,0.0417222250252962,16,16
9,NGA.20.9_1,Dawakin Kudu,0.332349896430969,0.356647843664343,0.0242979472333735,11,11
10,NGA.20.10_1,Dawakin Tofa,0.258193134330213,0.365615908056498,0.107422773726285,16,16
11,NGA.20.11_1,Doguwa,0.230616077780724,0.202446505427361,-0.028169572353363,21,21
12,NGA.20.12_1,Fagge,0.339316040277481,0.38005930185318,0.0407432615756989,1,1
13,NGA.20.13_1,Gabasawa,0.494693140188853,0.485573172569275,-0.00911996761957806,12,12
14,NGA.20.14_1,Garko,0.357359377667308,0.381942886859179,0.0245835091918707,16,16
15,NGA.20.15_1,Garum Mallam,0.352043583989143,0.359382964670658,0.00733938068151474,8,8
16,NGA.20.16_1,Gaya,0.50025158068713,0.474074307610007,-0.0261772730771233,17,17
17,NGA.20.17_1,Gezawa,0.376761769706553,0.381037980318069,0.00427621061151678,11,11
18,NGA.20.18_1,Gwale,0.281124025583267,0.379018038511276,0.097894012928009,1,1
19,NGA.20.19_1,Gwarzo,0.31512163951993,0.370005842298269,0.0548842027783394,8,8
20,NGA.20.20_1,Kabo,0.270517100890477,0.331151651011573,0.0606345501210955,9,9
21,NGA.20.21_1,Kano,0.311839163303375,0.36760950088501,0.0557703375816345,1,1
22,NGA.20.22_1,Karaye,0.384148096044858,0.4355731656154,0.0514250695705414,12,12
23,NGA.20.23_1,Kibiya,0.365560774619763,0.371842343073625,0.00628156845386213,13,13
24,NGA.20.24_1,Kiru,0.361778852343559,0.395396792888641,0.0336179405450821,20,20
25,NGA.20.25_1,Kumbotso,0.295334880550702,0.337037712335587,0.0417028317848842,6,6
26,NGA.20.26_1,Kunchi,0.419297676194798,0.50790027867664,0.088602602481842,11,11
27,NGA.20.27_1,Kura,0.247259000937144,0.293002618683709,0.0457436177465651,9,9
28,NGA.20.28_1,Madobi,0.275364281609654,0.322977796196938,0.0476135145872831,8,8
29,NGA.20.29_1,Makoda,0.482719670981169,0.546037398278713,0.0633177272975445,8,8
30,NGA.20.30_1,Minjibir,0.363569349050522,0.408339248100917,0.0447698990503947,15,15
31,NGA.20.31_1,Nasarawa,0.313056588172913,0.393895000219345,0.0808384120464325,1,1
32,NGA.20.32_1,Rano,0.456325358578137,0.437637874058315,-0.0186874845198223,14,14
33,NGA.20.33_1,Rimin Gado,0.233043023518154,0.31984230024474,0.0867992767265865,7,7
34,NGA.20.34_1,Rogo,0.448207740982374,0.44768463820219,-0.000523102780183138,12,12
35,NGA.20.35_1,Shanono,0.329950880545836,0.377341570762488,0.0473906902166513,13,13
36,NGA.20.36_1,Sumaila,0.307827153376171,0.325437256268093,0.017610102891922,28,28
37,NGA.20.37_1,Takai,0.379516926076677,0.404026970267296,0.0245100441906188,18,18
38,NGA.20.38_1,Tarauni,0.320625960826874,0.391338586807251,0.0707126259803772,1,1
39,NGA.20.39_1,Tofa,0.233052670955658,0.326833214610815,0.0937805436551571,8,8
40,NGA.20.40_1,Tsanyawa,0.38577104277081,0.425785889228185,0.0400148464573754,9,9
41,NGA.20.41_1,Tudun Wada,0.383890175613864,0.373021446939172,-0.0108687286746913,29,29
42,NGA.20.42_1,Ungogo,0.271902643144131,0.363893747329712,0.0919911041855812,6,6
43,NGA.20.43_1,Warawa,0.370111455519994,0.370280871788661,0.000169416268666622,12,12
44,NGA.20.44_1,Wudil,0.428879824551669,0.419527173042297,-0.00935265150937165,11,11
